player.id,pass.recipient.id,passesBetween,jersey_number,X,Y,totPasses,player.id_rx,jersey_number_rx,X_rx,Y_rx,totPasses_rx,passLineWidth
5203.0,5211.0,144,5.0,59.208201754386025,40.24263157894733,2280,5211.0,18.0,66.76817917393831,11.51378708551485,1719,376.9633507853403
5203.0,5213.0,231,5.0,59.208201754386025,40.24263157894733,2280,5213.0,3.0,45.092068361086724,52.69219982471526,2282,604.7120418848167
5203.0,5470.0,147,5.0,59.208201754386025,40.24263157894733,2280,5470.0,4.0,65.65967399007789,40.109851169383454,1411,384.81675392670155
5203.0,5487.0,92,5.0,59.208201754386025,40.24263157894733,2280,5487.0,17.0,77.11286307053935,32.8502074688796,964,240.83769633507853
5203.0,5492.0,93,5.0,59.208201754386025,40.24263157894733,2280,5492.0,23.0,45.27957920792084,28.250495049504924,808,243.45549738219896
5203.0,5503.0,382,5.0,59.208201754386025,40.24263157894733,2280,5503.0,10.0,79.8131652661065,50.179458450046575,2142,1000.0
5203.0,6374.0,101,5.0,59.208201754386025,40.24263157894733,2280,6374.0,2.0,64.9714801444042,61.71249097472928,1385,264.39790575916226
5203.0,6379.0,197,5.0,59.208201754386025,40.24263157894733,2280,6379.0,20.0,66.4167286245352,61.24784917684549,1883,515.7068062827225
5203.0,6826.0,173,5.0,59.208201754386025,40.24263157894733,2280,6826.0,15.0,44.61339387060149,24.791259931895567,1762,452.87958115183244
5203.0,8118.0,152,5.0,59.208201754386025,40.24263157894733,2280,8118.0,21.0,64.17975055025681,39.49391049156269,1363,397.90575916230364
5203.0,8206.0,137,5.0,59.208201754386025,40.24263157894733,2280,8206.0,22.0,67.78333333333326,50.3590759075907,1212,358.6387434554974
5203.0,11392.0,116,5.0,59.208201754386025,40.24263157894733,2280,11392.0,8.0,67.8902412280701,33.57807017543855,912,303.6649214659686
5211.0,5203.0,128,18.0,66.76817917393831,11.51378708551485,1719,5203.0,5.0,59.208201754386025,40.24263157894733,2280,335.07853403141365
5211.0,5246.0,123,18.0,66.76817917393831,11.51378708551485,1719,5246.0,9.0,79.3716951788491,36.28895800933122,643,321.9895287958115
5211.0,5470.0,122,18.0,66.76817917393831,11.51378708551485,1719,5470.0,4.0,65.65967399007789,40.109851169383454,1411,319.3717277486911
5211.0,5487.0,168,18.0,66.76817917393831,11.51378708551485,1719,5487.0,17.0,77.11286307053935,32.8502074688796,964,439.7905759162304
5211.0,5492.0,82,18.0,66.76817917393831,11.51378708551485,1719,5492.0,23.0,45.27957920792084,28.250495049504924,808,214.65968586387436
5211.0,5503.0,150,18.0,66.76817917393831,11.51378708551485,1719,5503.0,10.0,79.8131652661065,50.179458450046575,2142,392.67015706806285
5211.0,6379.0,72,18.0,66.76817917393831,11.51378708551485,1719,6379.0,20.0,66.4167286245352,61.24784917684549,1883,188.48167539267016
5211.0,6826.0,190,18.0,66.76817917393831,11.51378708551485,1719,6826.0,15.0,44.61339387060149,24.791259931895567,1762,497.3821989528796
5211.0,8118.0,110,18.0,66.76817917393831,11.51378708551485,1719,8118.0,21.0,64.17975055025681,39.49391049156269,1363,287.9581151832461
5211.0,8206.0,64,18.0,66.76817917393831,11.51378708551485,1719,8206.0,22.0,67.78333333333326,50.3590759075907,1212,167.53926701570683
5211.0,11392.0,65,18.0,66.76817917393831,11.51378708551485,1719,11392.0,8.0,67.8902412280701,33.57807017543855,912,170.15706806282725
5211.0,24841.0,70,18.0,66.76817917393831,11.51378708551485,1719,24841.0,28.0,73.2115473441108,29.098383371824504,433,183.2460732984293
5211.0,30756.0,130,18.0,66.76817917393831,11.51378708551485,1719,30756.0,31.0,84.77228381374717,23.386474501108644,451,340.3141361256545
5213.0,5203.0,221,3.0,45.092068361086724,52.69219982471526,2282,5203.0,5.0,59.208201754386025,40.24263157894733,2280,578.5340314136126
5213.0,5470.0,125,3.0,45.092068361086724,52.69219982471526,2282,5470.0,4.0,65.65967399007789,40.109851169383454,1411,327.22513089005236
5213.0,5492.0,130,3.0,45.092068361086724,52.69219982471526,2282,5492.0,23.0,45.27957920792084,28.250495049504924,808,340.3141361256545
5213.0,5503.0,125,3.0,45.092068361086724,52.69219982471526,2282,5503.0,10.0,79.8131652661065,50.179458450046575,2142,327.22513089005236
5213.0,6374.0,205,3.0,45.092068361086724,52.69219982471526,2282,6374.0,2.0,64.9714801444042,61.71249097472928,1385,536.6492146596859
5213.0,6379.0,283,3.0,45.092068361086724,52.69219982471526,2282,6379.0,20.0,66.4167286245352,61.24784917684549,1883,740.8376963350786
5213.0,6826.0,316,3.0,45.092068361086724,52.69219982471526,2282,6826.0,15.0,44.61339387060149,24.791259931895567,1762,827.2251308900524
5213.0,8118.0,107,3.0,45.092068361086724,52.69219982471526,2282,8118.0,21.0,64.17975055025681,39.49391049156269,1363,280.1047120418848
5213.0,8206.0,107,3.0,45.092068361086724,52.69219982471526,2282,8206.0,22.0,67.78333333333326,50.3590759075907,1212,280.1047120418848
5213.0,20055.0,272,3.0,45.092068361086724,52.69219982471526,2282,20055.0,1.0,12.787648456057005,40.270387965162236,1263,712.0418848167538
5246.0,5487.0,61,9.0,79.3716951788491,36.28895800933122,643,5487.0,17.0,77.11286307053935,32.8502074688796,964,159.68586387434556
5246.0,5503.0,148,9.0,79.3716951788491,36.28895800933122,643,5503.0,10.0,79.8131652661065,50.179458450046575,2142,387.434554973822
5470.0,5203.0,146,4.0,65.65967399007789,40.109851169383454,1411,5203.0,5.0,59.208201754386025,40.24263157894733,2280,382.19895287958116
