minute,second,team,playerName,type,outcomeType,x,y,endX,endY
3,49.0,Real Madrid,Luka Modric,Challenge,Unsuccessful,24.8,27.6,,
3,49.0,Barcelona,Neymar,TakeOn,Successful,75.2,72.4,,
3,51.0,Barcelona,Neymar,Pass,Unsuccessful,74.0,64.5,96.2,45.1
3,53.0,Real Madrid,Keylor Navas,KeeperPickup,Successful,5.1,53.1,,
4,1.0,Real Madrid,Keylor Navas,Pass,Successful,15.0,46.9,33.3,5.3
4,5.0,Real Madrid,Danilo,Foul,Successful,43.5,5.9,,
4,5.0,Barcelona,Neymar,Foul,Unsuccessful,56.5,94.1,,
4,17.0,Real Madrid,James Rodríguez,Pass,Successful,47.3,13.0,41.5,20.9
4,18.0,Real Madrid,Luka Modric,Pass,Successful,36.6,17.7,23.9,16.8
4,20.0,Real Madrid,Raphaël Varane,Pass,Successful,29.5,19.4,26.9,58.3
4,22.0,Real Madrid,Sergio Ramos,Pass,Successful,24.5,59.1,7.9,48.5
4,24.0,Real Madrid,Keylor Navas,Pass,Successful,7.9,48.5,45.6,55.4
4,28.0,Real Madrid,Karim Benzema,Pass,Unsuccessful,45.6,55.2,46.9,48.5
4,30.0,Barcelona,Gerard Piqué,Pass,Successful,54.7,51.6,59.6,61.2
4,30.0,Barcelona,Andrés Iniesta,BallRecovery,Successful,59.1,62.1,,
4,31.0,Barcelona,Andrés Iniesta,Pass,Successful,57.1,67.0,57.4,87.1
4,33.0,Barcelona,Jordi Alba,Pass,Successful,64.9,89.3,64.4,97.2
4,35.0,Barcelona,Neymar,Pass,Successful,64.4,97.2,58.2,88.9
4,37.0,Barcelona,Andrés Iniesta,Pass,Successful,63.8,91.4,67.1,83.0
4,38.0,Barcelona,Jordi Alba,Pass,Successful,67.1,83.0,44.8,75.1
4,41.0,Barcelona,Javier Mascherano,Pass,Successful,43.6,67.9,39.9,43.4
4,46.0,Barcelona,Gerard Piqué,Pass,Successful,45.8,34.6,61.4,12.2
4,48.0,Barcelona,Sergi Roberto,Pass,Successful,59.4,19.2,57.0,26.2
4,49.0,Barcelona,Ivan Rakitic,Pass,Successful,57.0,26.2,55.5,8.3
4,50.0,Barcelona,Dani Alves,Pass,Successful,55.5,8.3,63.4,14.0
4,51.0,Barcelona,Sergi Roberto,Pass,Successful,60.5,17.7,37.8,30.1
4,55.0,Barcelona,Gerard Piqué,Pass,Successful,38.7,34.5,38.3,63.7
4,57.0,Barcelona,Javier Mascherano,Pass,Successful,43.4,67.3,53.8,74.5
4,59.0,Barcelona,Andrés Iniesta,Pass,Successful,53.8,74.5,43.7,67.8
5,3.0,Barcelona,Javier Mascherano,Pass,Successful,43.0,65.1,47.0,68.8
5,4.0,Barcelona,Andrés Iniesta,Pass,Successful,47.0,67.9,52.6,55.7
5,7.0,Barcelona,Sergio Busquets,Pass,Successful,48.8,55.1,52.1,41.6
5,11.0,Barcelona,Ivan Rakitic,Pass,Successful,65.2,37.4,68.9,33.0
5,13.0,Barcelona,Sergi Roberto,Dispossessed,Successful,69.5,25.3,,
5,13.0,Real Madrid,Sergio Ramos,Tackle,Successful,30.5,74.7,,
5,22.0,Barcelona,Dani Alves,Pass,Successful,64.6,0.0,65.5,4.7
5,23.0,Barcelona,Ivan Rakitic,Pass,Successful,65.0,5.0,62.5,1.4
5,24.0,Barcelona,Dani Alves,Pass,Successful,62.2,1.9,68.3,4.9
5,25.0,Barcelona,Sergi Roberto,Pass,Successful,68.3,4.9,63.0,8.8
5,26.0,Barcelona,Ivan Rakitic,Pass,Successful,63.0,8.8,57.5,7.4
5,29.0,Barcelona,Dani Alves,Pass,Successful,59.1,10.9,45.5,44.3
5,32.0,Barcelona,Javier Mascherano,Pass,Successful,46.5,54.3,51.4,82.9
5,34.0,Barcelona,Jordi Alba,Pass,Successful,54.0,86.2,63.3,95.9
5,36.0,Barcelona,Neymar,Pass,Successful,63.3,95.9,64.2,83.8
5,37.0,Barcelona,Andrés Iniesta,Pass,Successful,64.2,83.8,56.1,91.4
5,38.0,Barcelona,Jordi Alba,Pass,Successful,55.9,88.9,54.4,64.5
5,39.0,Barcelona,Sergio Busquets,Pass,Unsuccessful,54.1,64.2,62.2,66.7
5,40.0,Real Madrid,Luka Modric,Interception,Successful,35.6,39.5,,
5,41.0,Real Madrid,Luka Modric,BallRecovery,Successful,35.9,40.1,,
5,42.0,Real Madrid,Luka Modric,Pass,Successful,39.5,44.0,51.6,54.5
5,43.0,Real Madrid,Cristiano Ronaldo,Pass,Successful,52.7,56.5,52.3,49.5
5,44.0,Real Madrid,Gareth Bale,Pass,Unsuccessful,52.9,51.2,52.1,60.3
5,45.0,Barcelona,Ivan Rakitic,Interception,Successful,47.9,46.6,,
