id,minute,second,teamId,h_a,type,outcomeType,x,y,endX,endY
2390957159.0,2,20.0,ManchesterUnited,a,Pass,Successful,21.1,20.7,4.6,50.6
2390957171.0,2,23.0,ManchesterUnited,a,Pass,Successful,4.6,50.6,14.8,52.4
2390957197.0,2,24.0,ManchesterUnited,a,Pass,Successful,14.8,52.4,12.2,22.2
2390957221.0,2,27.0,ManchesterUnited,a,Pass,Successful,13.6,17.1,27.1,3.4
2390957231.0,2,29.0,ManchesterUnited,a,Pass,Unsuccessful,25.7,2.9,27.2,4.3
2390957237.0,2,29.0,ManchesterCity,h,BlockedPass,Successful,73.3,95.7,,
2390957527.0,2,47.0,ManchesterUnited,a,Pass,Unsuccessful,22.1,0.0,33.7,5.5
2390957539.0,2,48.0,ManchesterCity,h,Interception,Successful,68.2,92.9,,
2390957585.0,2,51.0,ManchesterUnited,a,Pass,Unsuccessful,15.7,2.8,18.7,2.2
2390957591.0,2,51.0,ManchesterCity,h,BlockedPass,Successful,81.9,96.0,,
2390957799.0,3,2.0,ManchesterUnited,a,Pass,Successful,22.4,0.0,12.7,7.7
2390957815.0,3,3.0,ManchesterUnited,a,Pass,Successful,12.7,7.7,22.1,2.3
2390957833.0,3,5.0,ManchesterUnited,a,Pass,Successful,22.3,2.3,30.0,11.9
2390957859.0,3,7.0,ManchesterUnited,a,Pass,Successful,28.8,16.2,21.6,28.0
2390957877.0,3,8.0,ManchesterUnited,a,Pass,Successful,21.6,28.0,19.3,23.9
2390957897.0,3,8.0,ManchesterUnited,a,Pass,Successful,19.3,23.9,23.5,66.6
2390958017.0,3,16.0,ManchesterUnited,a,Pass,Successful,44.5,86.2,38.4,72.4
2390958083.0,3,19.0,ManchesterUnited,a,Pass,Successful,38.5,67.9,34.0,27.7
2390958111.0,3,23.0,ManchesterUnited,a,Pass,Successful,43.5,21.0,58.7,18.8
2390958127.0,3,25.0,ManchesterUnited,a,Pass,Unsuccessful,58.4,16.8,65.3,0.0
2390958235.0,3,31.0,ManchesterCity,h,Pass,Successful,29.2,100.0,20.8,86.8
2390958349.0,3,36.0,ManchesterCity,h,Pass,Successful,23.7,76.3,22.0,41.3
2390958393.0,3,43.0,ManchesterCity,h,Pass,Successful,27.8,42.1,40.1,94.5
2390958431.0,3,47.0,ManchesterCity,h,Pass,Successful,40.0,92.9,37.8,79.1
2390958511.0,3,50.0,ManchesterCity,h,Pass,Successful,39.8,81.7,31.0,70.5
2390958553.0,3,57.0,ManchesterCity,h,Pass,Successful,42.1,67.0,55.5,95.4
2390958579.0,3,59.0,ManchesterCity,h,Pass,Successful,56.5,93.5,55.4,85.4
2390958601.0,4,1.0,ManchesterCity,h,Pass,Successful,55.4,85.7,48.5,97.4
2390958697.0,4,1.0,ManchesterCity,h,Pass,Successful,48.3,97.2,38.0,76.6
2390958711.0,4,9.0,ManchesterCity,h,Pass,Successful,44.4,71.4,56.1,95.1
2390958775.0,4,11.0,ManchesterCity,h,Pass,Successful,57.0,93.3,65.5,84.5
2390958813.0,4,17.0,ManchesterCity,h,Pass,Successful,80.4,89.9,85.2,96.2
2390958861.0,4,20.0,ManchesterCity,h,Pass,Successful,92.3,92.3,88.0,83.2
2390958875.0,4,22.0,ManchesterCity,h,Pass,Successful,94.3,85.3,91.0,53.3
2390958887.0,4,24.0,ManchesterCity,h,Goal,Successful,91.0,53.3,,
2390971173.0,5,,ManchesterUnited,a,OffsideGiven,Unsuccessful,60.7,68.5,,
2390959949.0,5,31.0,ManchesterUnited,a,Pass,Successful,50.1,50.0,31.6,34.2
2390959991.0,5,33.0,ManchesterUnited,a,Pass,Successful,31.6,34.2,31.5,62.3
2390960051.0,5,39.0,ManchesterUnited,a,Pass,Successful,32.2,71.4,35.9,95.3
2390960073.0,5,41.0,ManchesterUnited,a,Pass,Successful,35.9,95.3,53.4,94.5
2390960113.0,5,42.0,ManchesterUnited,a,Pass,Successful,53.4,94.5,40.9,87.1
2390960313.0,5,43.0,ManchesterUnited,a,TakeOn,Unsuccessful,43.4,75.8,,
2390960279.0,5,43.0,ManchesterCity,h,Tackle,Unsuccessful,56.6,24.2,,
2390960173.0,5,43.0,ManchesterUnited,a,OffsidePass,Successful,42.4,86.2,60.7,68.5
2390960133.0,5,43.0,ManchesterCity,h,OffsideProvoked,Successful,44.0,38.0,,
2390960573.0,6,12.0,ManchesterCity,h,Pass,Successful,38.3,33.0,27.3,55.7
2390960751.0,6,21.0,ManchesterCity,h,Pass,Successful,27.8,56.7,27.0,40.9
2390960779.0,6,24.0,ManchesterCity,h,Pass,Successful,27.9,37.0,38.6,31.9
2390960845.0,6,25.0,ManchesterCity,h,Pass,Successful,37.4,32.8,5.8,85.9
2390960889.0,6,30.0,ManchesterCity,h,Pass,Successful,6.2,86.9,27.9,94.8
2390960941.0,6,34.0,ManchesterCity,h,Pass,Successful,26.2,89.6,15.2,47.6
2390961011.0,6,42.0,ManchesterCity,h,Pass,Successful,29.8,46.3,29.2,67.8
2390961041.0,6,44.0,ManchesterCity,h,Pass,Successful,30.3,72.9,34.9,93.9
2390961075.0,6,47.0,ManchesterCity,h,Pass,Successful,35.4,92.7,37.5,76.6
2390961127.0,6,47.0,ManchesterCity,h,Pass,Successful,36.0,74.4,9.8,50.7
2390961177.0,6,52.0,ManchesterCity,h,Pass,Successful,12.8,46.4,20.0,28.6
2390961223.0,6,55.0,ManchesterCity,h,Pass,Successful,23.0,28.2,35.7,36.4
2390961381.0,6,57.0,ManchesterCity,h,Pass,Successful,32.1,35.8,12.3,44.0
2390961443.0,7,10.0,ManchesterCity,h,Pass,Unsuccessful,18.5,51.6,86.8,63.4
2390961465.0,7,15.0,ManchesterUnited,a,KeeperPickup,Successful,13.4,40.0,,
2390961637.0,7,21.0,ManchesterUnited,a,Pass,Successful,13.2,48.7,13.1,27.4
2390961661.0,7,26.0,ManchesterUnited,a,Pass,Successful,20.4,23.0,47.3,52.8
2390961677.0,7,28.0,ManchesterUnited,a,Pass,Successful,47.3,52.8,44.9,63.0
2390961733.0,7,30.0,ManchesterUnited,a,Pass,Successful,44.9,63.0,68.1,93.5
2390961815.0,7,34.0,ManchesterUnited,a,Pass,Successful,73.9,89.7,96.3,74.4
2390961825.0,7,37.0,ManchesterUnited,a,Pass,Successful,99.3,75.4,89.5,87.7
2390961853.0,7,39.0,ManchesterUnited,a,Pass,Unsuccessful,89.5,87.7,87.5,49.7
2390961857.0,7,41.0,ManchesterCity,h,Aerial,Successful,12.9,52.0,,
2390961863.0,7,41.0,ManchesterUnited,a,Aerial,Unsuccessful,87.1,48.0,,
2390974267.0,7,41.0,ManchesterCity,h,Clearance,Successful,11.2,54.4,12.7,53.4
2390961869.0,7,41.0,ManchesterUnited,a,BallTouch,Successful,87.2,50.3,,
2390961889.0,7,42.0,ManchesterCity,h,Clearance,Successful,11.5,44.2,25.2,49.4
